Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-March-2017,3203.00,3260.50,3191.05,3227.55,3238.858833715818054960,118959,2472,385291408.00,95394,80.19,69.45,24.55
1-March-2017,3149.05,3196.00,3149.05,3184.00,3182.449857830271216097,18288,1935,58200643.00,4599,25.15,46.95,34.95
28-February-2017,3172.10,3177.95,3129.95,3135.00,3147.027374038612462721,63710,1528,200497114.00,4185,6.57,48.00,-37.10
27-February-2017,3218.00,3218.00,3155.90,3168.35,3181.203656853725850965,17392,1759,55327494.00,4742,27.27,62.10,-49.65
23-February-2017,3150.00,3199.00,3149.55,3177.20,3177.946894155532329595,35401,3283,112502498.00,15752,44.50,49.45,27.20
22-February-2017,3118.05,3173.95,3111.85,3164.80,3136.805413170524666166,30629,4734,96077213.00,17579,57.39,62.10,46.75
21-February-2017,3107.35,3139.00,3090.50,3128.50,3108.464490039028824903,63799,1972,198316926.00,19588,30.70,48.50,21.15
20-February-2017,3086.10,3122.45,3081.00,3103.00,3103.989908503767491926,14864,1363,46137706.00,4066,27.35,41.45,16.90
17-February-2017,3126.10,3133.00,3074.00,3085.65,3093.771251059022874894,17705,2441,54775220.00,5531,31.24,59.00,-40.45
16-February-2017,3110.00,3158.00,3054.00,3126.10,3105.136524453694068678,19220,2375,59680724.00,3324,17.29,104.00,16.10
15-February-2017,3161.15,3165.00,3089.10,3098.40,3118.246367102957848088,19406,2898,60512689.00,7208,37.14,75.90,-62.75
14-February-2017,3233.85,3233.90,3146.50,3161.15,3166.119872560732775786,22599,2064,71551143.00,7710,34.12,87.40,-72.70
13-February-2017,3266.45,3272.55,3211.70,3226.40,3238.260537181636073750,24461,2600,79211091.00,11633,47.56,60.85,-40.05
10-February-2017,3265.00,3279.00,3244.00,3266.45,3265.640920096852300242,12390,1194,40461291.00,3841,31.00,35.00,1.45
9-February-2017,3273.00,3312.00,3228.00,3264.30,3263.333722838939431878,35943,2877,117294004.00,12564,34.96,84.00,-8.70
8-February-2017,3269.00,3282.25,3210.00,3223.80,3243.494256009214634294,32991,3639,107006119.00,7228,21.91,72.25,-45.20
7-February-2017,3270.00,3270.05,3227.50,3258.75,3249.347761928184948352,10165,1107,33029620.00,3684,36.24,42.55,-11.25
6-February-2017,3264.00,3284.50,3249.00,3262.80,3266.087228750321639934,23318,2924,76158622.00,10276,44.07,35.50,-1.20
3-February-2017,3227.00,3229.00,3202.00,3215.70,3215.616209686275945381,27317,4310,87840988.00,12220,44.73,27.00,-11.30
2-February-2017,3269.80,3291.55,3217.50,3226.00,3245.775740586408061216,39597,3541,128522982.00,10402,26.27,74.05,-43.80
1-February-2017,3194.00,3300.00,3170.05,3284.10,3238.899606831561648395,48071,3559,155697143.00,13200,27.46,129.95,90.10
31-January-2017,3210.00,3220.00,3153.75,3179.25,3183.975499881451039279,12653,1497,40286842.00,1862,14.72,66.25,-30.75
30-January-2017,3216.30,3216.30,3160.15,3196.85,3188.085465763123293213,19774,1693,63041202.00,4562,23.07,56.15,-19.45
27-January-2017,3235.00,3263.00,3201.05,3216.30,3224.738621597170819968,121590,2102,392095969.00,102844,84.58,61.95,-18.70
25-January-2017,3140.00,3265.00,3124.85,3240.35,3190.116070152514342881,48979,4971,156248695.00,19349,39.50,140.15,100.35
24-January-2017,3112.00,3141.45,3087.05,3133.25,3121.974599879827388430,18307,1972,57153989.00,9010,49.22,54.40,21.25
23-January-2017,3058.00,3108.90,3044.70,3099.55,3056.391866204086503627,117313,1719,358554499.00,103338,88.09,64.20,41.55
20-January-2017,3105.05,3120.00,3050.55,3056.60,3080.609873403726021338,18089,1560,55725152.00,6451,35.66,69.45,-48.45
19-January-2017,3104.00,3117.70,3068.00,3107.90,3092.648657519858202586,15233,1660,47110317.00,3566,23.41,49.70,3.90
18-January-2017,3141.00,3159.00,3077.00,3088.85,3112.218345456787079275,40555,3051,126216015.00,13840,34.13,82.00,-52.15
17-January-2017,3110.00,3155.00,3074.40,3131.65,3117.932217997465145754,19725,1697,61501213.00,7117,36.08,80.60,21.65
16-January-2017,3051.00,3100.00,3029.00,3091.40,3069.219249592169657422,9195,1341,28221471.00,2962,32.21,71.00,40.40
13-January-2017,3084.90,3092.70,3021.95,3044.65,3046.842299394529890737,14369,2116,43780077.00,4274,29.74,70.75,-40.25
12-January-2017,3114.70,3114.70,3065.00,3079.65,3084.479652491998171010,30618,2818,94440598.00,17839,58.26,49.70,-35.05
11-January-2017,3070.00,3092.05,3040.00,3087.00,3068.106050995813776481,15766,2059,48371760.00,4960,31.46,52.05,17.00
10-January-2017,3040.10,3073.45,3020.10,3062.95,3047.943180827886710239,11475,1788,34975148.00,2340,20.39,53.35,22.85
9-January-2017,3100.00,3108.00,3029.30,3035.90,3067.298409932476584622,13773,1713,42245901.00,3282,23.83,78.70,-64.10
6-January-2017,3085.00,3118.25,3055.95,3068.60,3082.624968626072988303,19921,2494,61408972.00,4492,22.55,62.30,-16.40
5-January-2017,3020.00,3081.50,3015.25,3072.30,3058.384202876760386909,39906,3317,122047880.00,14783,37.04,66.25,52.30
4-January-2017,3012.00,3025.95,2976.05,3014.25,2998.408937693296730027,28777,3234,86285214.00,5841,20.30,49.90,2.25
3-January-2017,2972.70,3018.45,2966.00,2987.35,2995.536390322907176839,19758,1989,59185808.00,5826,29.49,52.45,14.65
2-January-2017,3045.00,3068.10,2991.50,3028.70,3018.372486288848263254,19692,2200,59437791.00,5539,28.13,76.60,-16.30
